RMOWNHH,OMB13CBSA,DIVISION,HHSEX,HHMAR,HHCITSHP,HHAGE,HHRACE,HHGRAD,NUMPEOPLE,HINCP
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','3','4',66,'04','39',3,23000
'-6','41860','9','2','3','1',61,'01','39',1,85000
'-6','41860','9','2','4','1',45,'01','42',3,133000
'-6','41860','9','1','1','1',54,'01','40',2,167200
'-6','41860','9','2','4','1',65,'01','44',1,60000
'-6','41860','9','2','1','1',39,'01','40',3,193000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','9','2','4','3',48,'01','40',3,34600
'2','41860','9','1','1','1',61,'01','38',2,55000
'-6','41860','9','2','1','4',75,'01','39',2,63500
'-6','41860','9','1','6','1',79,'01','45',2,55200
'2','41860','9','2','4','1',34,'01','44',1,130000
'-6','41860','9','2','6','1',35,'02','43',1,100000
'2','41860','9','1','1','5',46,'04','36',4,65000
'-6','41860','9','1','1','1',49,'02','38',6,76300
'-6','41860','9','1','4','1',59,'01','40',2,185000
'-6','99998','9','1','1','1',49,'01','46',3,536000
'-6','99998','6','2','6','1',39,'01','39',5,23900
'-6','16980','3','2','1','1',37,'01','45',4,175000
'-6','99999','4','1','1','1',61,'01','40',2,90000
'-6','99998','5','2','1','1',72,'01','39',2,82400
'-6','99998','6','2','1','1',41,'01','40',2,50000
'-9','99998','5','2','1','1',60,'01','44',2,73000
'1','99998','5','1','6','1',39,'02','44',1,65500
'-6','16980','3','2','4','1',40,'01','40',3,86400
'-6','99998','5','1','1','5',41,'01','32',5,47000
'-6','99999','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','3','1',76,'01','39',1,24000
'2','99998','3','2','1','1',33,'01','43',5,45160
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','16980','3','1','1','1',58,'01','40',2,130200
'-6','99998','3','2','3','1',45,'02','45',4,5000
'2','99998','6','2','6','1',30,'01','44',2,120000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','16980','3','1','6','1',60,'01','40',1,100200
'2','99999','4','1','1','1',31,'02','40',5,32000
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','6','1',52,'02','40',1,105000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','16980','3','1','1','1',57,'01','43',2,151000
'-6','99998','5','1','1','1',80,'02','39',2,16900
'-6','99998','5','1','1','1',80,'01','40',2,45100
'-6','99998','5','2','6','1',30,'04','43',1,24000
'-6','99998','3','2','6','1',28,'01','44',1,45000
'2','16980','3','2','1','1',57,'01','44',2,126000
'-6','99998','5','1','1','1',73,'01','44',2,41100
'-6','99998','3','1','1','1',61,'01','43',2,229000
'2','99998','5','2','6','1',24,'02','44',1,5000
'-6','19100','7','2','3','3',68,'01','34',1,14000
'-6','19100','7','2','2','5',53,'01','39',2,23000
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','2','1',68,'01','44',1,21000
'-6','19100','7','1','6','1',80,'01','47',1,241800
'1','19100','7','1','6','1',34,'02','39',2,67000
'2','19100','7','1','1','5',41,'04','45',4,85000
'2','19100','7','1','6','1',20,'01','39',1,5000
'-6','19100','7','1','1','1',59,'01','42',3,10000
'2','19100','7','2','6','1',45,'02','39',1,36000
'-6','19100','7','2','5','1',65,'02','40',1,42000
'-6','19100','7','1','6','5',50,'01','35',1,25000
'2','19100','7','2','1','5',30,'01','37',5,40000
'-6','19100','7','2','4','1',55,'01','40',1,22000
'1','19100','7','2','6','1',51,'02','39',3,30
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','1','5',45,'01','44',6,35000
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','2','3','4',80,'08','45',2,54800
'2','19100','7','2','6','1',47,'01','37',2,4200
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','1','1',27,'02','44',2,128000
'-6','19100','7','1','4','1',53,'01','44',1,89000
'-6','19100','7','1','4','1',64,'02','39',1,12000
'-6','19100','7','1','3','4',70,'01','47',1,160000
'-6','19100','7','2','3','1',80,'02','39',1,7200
'2','19100','7','1','1','5',38,'01','38',6,50000
'-6','19100','7','2','1','1',66,'01','44',2,31800
'2','19100','7','2','3','1',80,'01','42',1,18360
'-6','19100','7','2','1','5',41,'01','40',5,41200
'-6','99998','7','1','1','1',63,'01','39',3,19200
'-6','99998','3','2','1','1',70,'01','40',2,52100
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'2','19100','7','2','1','4',42,'01','39',2,51000
'1','19100','7','2','4','1',42,'01','39',1,40000
'2','19100','7','2','1','1',46,'01','44',4,103400
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','2','4','1',59,'02','40',1,60030
'-6','99998','7','2','6','5',38,'01','32',5,11700
'-6','99998','7','1','1','4',62,'01','33',5,25800
'-6','99998','8','1','1','1',76,'01','44',2,376500
'1','19100','7','2','4','1',68,'02','44',1,14400
'-6','19100','7','1','6','1',37,'01','40',1,19400
'2','19100','7','1','3','1',64,'01','35',3,48000
'-6','19100','7','2','1','1',59,'01','39',3,114008
'-6','19100','7','2','3','1',80,'02','40',1,14000
'1','19100','7','1','4','1',63,'01','37',4,55300
'-6','19100','7','2','4','1',49,'02','40',5,49500
'-6','19100','7','2','1','5',59,'01','39',4,76000
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','3','2','1','1',28,'01','47',2,265000
'-6','19100','7','1','4','1',56,'01','38',3,145000
'-6','19100','7','2','1','1',55,'01','44',2,147004
'-6','19100','7','2','6','1',49,'01','45',1,91000
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','1','5',46,'02','44',4,3800
'2','19100','7','2','6','1',27,'02','44',1,55000
'1','19100','7','2','6','1',24,'01','45',1,12000
'-6','99998','7','2','1','1',37,'01','39',5,65000
'2','19100','7','1','6','5',18,'01','39',1,0
'-6','19100','7','2','3','5',50,'01','38',3,32000
'-6','19100','7','1','1','1',51,'01','44',3,70000
'-9','19100','7','1','6','1',53,'02','39',1,0
'-6','19100','7','1','1','4',39,'01','44',2,129000
'2','19100','7','2','1','5',38,'01','34',5,40000
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','1','1',74,'01','40',2,73300
'-6','19100','7','2','1','1',39,'02','44',4,113000
'-6','99998','7','1','6','1',34,'01','41',1,50000
'2','19100','7','2','1','1',24,'01','42',5,56390
'-6','19100','7','2','1','1',34,'01','40',4,134000
'2','19100','7','2','5','1',34,'01','43',2,20000
'-6','19100','7','1','1','1',77,'01','44',2,35604
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'1','19100','7','2','4','4',61,'01','39',1,27000
'2','19100','7','2','6','1',27,'01','44',1,100000
'-6','19100','7','1','1','4',64,'04','44',3,153004
'-6','19100','7','2','1','4',45,'02','39',7,108000
'-6','99998','8','2','1','1',75,'01','44',2,101300
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','1','5',30,'01','39',6,68000
'-6','19100','7','2','4','1',40,'02','40',3,27000
'-6','19100','7','2','5','1',61,'02','44',3,45000
'-6','19100','7','2','1','5',50,'01','31',3,100000
'-6','19100','7','2','1','1',67,'01','44',2,90298
'2','19100','7','2','4','1',52,'01','44',1,7500
'-6','19100','7','2','4','5',34,'01','39',6,17000
'2','19100','7','2','4','5',39,'02','44',1,75080
'-6','19100','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','4','1','6','1',70,'02','40',1,460
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','1','1','1',45,'01','45',2,90000
'2','99999','4','2','5','1',54,'01','43',5,56400
'-6','99998','4','1','1','1',35,'02','39',5,112000
'-6','99998','3','2','1','1',68,'01','45',2,163540
'1','99999','4','2','4','1',31,'01','39',2,16000
'-6','99998','4','1','1','1',48,'01','44',5,124000
'-6','99998','3','1','6','1',32,'01','44',2,63000
'-6','99998','3','1','1','1',63,'01','44',2,111000
'-6','99998','3','2','1','1',36,'01','39',5,95000
'-6','99998','3','1','4','1',62,'01','44',1,98000
'-6','99998','4','1','1','1',34,'01','43',5,80000
'-6','99998','3','1','1','1',59,'01','45',2,140000
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','1','1','1','1',69,'01','45',3,85100
'-6','99998','4','2','1','1',72,'01','44',2,53030
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','4','2','4','1',57,'01','40',3,49600
'2','99998','4','2','4','1',39,'01','47',3,110000
'1','99998','3','2','6','1',34,'01','45',2,85600
'-6','99998','1','1','1','1',78,'01','39',2,34600
'-6','99998','1','1','1','1',46,'01','39',2,70000
'-6','99999','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','4','1','1','1',46,'01','44',3,116800
'1','99998','1','1','6','1',27,'01','44',1,60000
'-6','99999','1','2','6','1',52,'01','39',1,10060
'2','99999','8','1','1','1',32,'01','44',3,96000
'2','99999','8','2','4','1',55,'01','44',1,134000
'2','99999','8','2','5','1',65,'01','39',1,880
'1','99999','1','1','4','1',61,'01','40',1,18000
'-6','99999','8','1','6','1',33,'07','40',3,22780
'-6','99999','1','1','6','1',60,'01','39',1,14960
'-9','99999','8','2','1','1',38,'01','42',3,110000
'-9','99999','8','1','4','1',61,'01','39',2,45000
'-6','99999','1','2','4','1',54,'01','39',2,16800
'-6','99999','1','2','6','1',30,'01','40',2,101000
'-6','99999','8','2','6','1',60,'01','45',1,18500
'2','99999','1','2','4','1',30,'01','39',2,12000
'-6','99999','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','1','2','4','1',69,'01','44',1,33700
'2','99999','1','2','4','1',59,'01','43',1,17000
'-6','99999','8','1','1','1',63,'01','45',2,60000
'-6','99999','8','1','1','1',74,'01','37',2,18800
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','1','4','1',34,'01','40',2,11000
'-6','99998','6','2','3','1',85,'01','39',1,12500
'-6','99998','5','2','4','1',56,'01','42',2,65000
'-6','99998','5','1','3','1',85,'01','32',3,10000
'2','99998','6','2','6','1',25,'02','39',3,9300
'2','99999','6','2','4','1',48,'01','41',2,18900
'-6','99999','4','2','4','1',59,'01','36',1,10800
'-6','99998','6','2','6','1',32,'01','38',3,1280
'2','99998','6','1','3','1',68,'15','41',1,12100
'-6','99998','5','2','3','1',70,'01','35',1,9500
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','2','4','1',61,'02','40',1,8900
'1','99999','6','1','6','1',24,'01','40',2,500
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','1','6','1',66,'02','37',1,9400
'-6','99998','6','2','4','1',37,'07','39',4,34200
'-6','99998','5','2','4','1',77,'01','46',1,17400
'2','99998','6','2','6','1',47,'02','39',1,0
'-6','99998','6','1','6','1',59,'01','39',1,9300
'-6','99998','5','2','5','1',53,'01','40',3,11600
'-6','99999','5','1','3','1',85,'01','32',1,19300
'-6','99998','6','2','6','1',68,'02','37',1,9500
'-6','99998','6','1','6','1',35,'02','39',1,52000
'-6','99998','6','2','4','1',72,'01','35',1,12000
'1','99998','6','2','6','1',41,'02','39',6,45000
'-6','99998','6','2','6','1',59,'01','44',1,18900
'-6','99998','6','1','1','1',59,'01','39',3,110000
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','4','1',60,'01','42',1,15300
'-6','99999','5','2','6','1',51,'01','45',1,115000
'-6','99998','6','2','6','1',33,'02','39',2,17000
'-6','99999','6','1','1','1',41,'01','39',5,46020
'1','99998','6','1','1','1',23,'01','44',2,106000
'1','99999','4','2','6','1',25,'01','44',2,57900
'2','99998','6','2','4','1',51,'01','39',1,7800
'-6','99998','6','2','1','1',47,'01','42',5,158000
'-6','99998','5','2','5','1',55,'01','36',1,9300
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','2','6','1',38,'02','37',5,25000
'-6','99998','6','1','1','1',56,'01','46',3,25200
'2','99998','5','1','1','1',57,'01','39',7,151200
'-6','99998','6','2','6','1',23,'01','40',1,36000
'-6','99999','5','2','6','1',80,'01','40',1,64860
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','1','6','1',57,'01','39',1,6600
'-6','99999','4','2','3','1',72,'01','43',1,21200
'-9','99998','6','2','5','1',65,'02','39',2,50000
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','1','1','1',69,'01','44',2,110500
'2','99998','9','1','1','1',34,'01','40',3,120100
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','2','1','1',47,'01','43',2,57000
'1','99998','2','2','3','1',85,'01','39',1,18000
'-6','99998','5','2','1','5',55,'01','33',8,50000
'2','99998','7','2','6','1',25,'02','41',2,82000
'-6','99998','5','1','1','5',36,'01','33',7,40000
'-6','99998','5','2','6','1',40,'01','40',2,23300
'-6','99998','5','2','3','1',65,'01','39',1,32400
'-6','99998','8','1','1','1',57,'01','44',2,71800
'-6','99998','9','2','1','1',47,'01','43',3,127000
'-6','99998','2','2','6','1',35,'02','42',4,21000
'-6','99998','2','2','1','1',65,'01','40',2,130200
'2','99998','5','1','1','1',29,'02','40',4,65000
'-6','37980','2','2','1','1',52,'01','45',2,331500
'-6','37980','2','2','1','1',71,'01','43',2,140700
'-6','99998','9','2','5','1',50,'01','36',3,18300
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','4','1',65,'01','39',5,6400
'2','99998','5','2','1','1',43,'01','43',3,93000
'-6','37980','2','1','4','1',56,'01','39',1,70100
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','9','1','1','1',32,'01','44',2,160700
'-6','99998','5','1','6','5',39,'01','36',4,61000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','3','1',65,'01','32',2,14300
'-6','37980','2','1','4','1',63,'01','39',1,12750
'2','99998','2','2','4','1',46,'15','43',2,54100
'-6','99998','2','2','4','1',67,'01','40',3,97600
'-6','37980','2','1','1','1',72,'01','44',2,181330
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','1','1',74,'01','40',2,65000
'-6','37980','2','1','1','1',74,'01','45',2,25000
'-6','99998','9','1','1','1',32,'01','40',4,105400
'-6','99998','5','1','4','1',51,'01','39',1,70000
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','4','1',78,'01','39',1,47600
'-6','99998','5','1','1','1',45,'01','44',4,309000
'2','99998','9','1','2','1',46,'02','42',1,55000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','37980','2','1','6','1',23,'02','39',3,44000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'1','37980','2','1','1','1',41,'01','39',4,169000
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','6','1',72,'01','44',1,41100
'-6','12060','5','1','6','1',23,'02','45',1,60000
'2','12060','5','2','3','1',76,'01','44',1,24000
'2','12060','5','2','1','1',33,'02','42',3,138000
'-6','12060','5','2','1','1',43,'02','40',4,160000
'-6','99999','5','1','1','1',64,'01','45',2,137030
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','3','1',80,'01','38',1,9000
'-6','12060','5','1','4','1',69,'02','39',1,12000
'-6','12060','5','2','6','1',34,'02','40',2,40000
'-6','12060','5','1','1','1',41,'01','44',4,245000
'-6','12060','5','1','6','1',44,'02','43',1,54000
'-6','12060','5','2','6','1',36,'01','40',1,45000
'-6','99998','9','2','4','1',51,'01','39',4,65900
'2','12060','5','1','6','1',29,'01','44',2,245550
'-6','12060','5','2','4','1',64,'02','39',2,24700
'-6','12060','5','2','1','1',60,'01','44',5,457720
'-6','12060','5','2','6','1',38,'01','45',1,71100
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','6','1',35,'02','39',3,14200
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','1','4',63,'01','40',2,7000
'-6','12060','5','2','4','1',49,'02','44',3,42000
'-6','12060','5','2','1','1',61,'01','39',2,150000
'-6','12060','5','1','6','1',31,'02','39',2,165000
'2','12060','5','1','6','4',22,'04','44',1,75000
'2','12060','5','2','5','5',46,'02','39',2,35500
'2','12060','5','2','6','1',35,'02','39',4,76300
'2','99999','5','1','1','1',75,'06','39',2,24300
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','1','1',60,'01','44',3,223000
'-6','12060','5','2','1','1',39,'01','43',4,112000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','2','6','1',65,'01','47',3,80190
'2','12060','5','1','1','4',38,'02','39',5,110000
'2','12060','5','1','6','5',30,'01','45',1,100000
'-6','12060','5','1','1','5',51,'04','44',4,108000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','1',29,'01','39',4,62000
'2','99998','9','2','5','5',42,'01','34',5,16000
'-6','12060','5','2','4','1',55,'02','41',1,7200
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'2','12060','5','1','4','1',38,'01','44',2,371000
'-6','12060','5','1','6','1',53,'01','44',1,30000
'2','12060','5','1','1','1',49,'01','45',4,89000
'2','12060','5','2','4','1',67,'02','41',1,32500
'-6','99999','5','2','3','1',85,'01','34',1,1400
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','4','1',68,'03','40',1,6500
'2','12060','5','2','6','1',40,'02','39',4,20000
'-6','12060','5','2','3','1',74,'02','44',2,40800
'-6','12060','5','2','3','1',80,'01','39',1,24000
'-6','12060','5','1','1','4',54,'04','47',4,273000
'-6','99999','5','1','1','1',47,'01','43',3,101000
'2','99998','5','2','4','1',36,'01','40',3,33000
'-6','12060','5','2','3','1',63,'01','40',1,64800
'-6','99998','9','2','2','5',51,'01','42',4,25000
'-6','12060','5','1','1','1',44,'02','44',7,152000
'-6','12060','5','1','1','1',59,'02','44',2,138000
'-6','12060','5','2','1','4',52,'01','44',2,100000
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','2','1','1',40,'01','45',2,55000
'-6','99998','5','2','4','1',69,'01','45',1,59940
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','6','1',34,'02','46',2,384000
'-6','12060','5','1','6','1',26,'02','45',1,148000
'2','12060','5','2','6','1',24,'01','44',1,70000
'-6','12060','5','1','1','1',54,'02','38',4,45000
'-6','12060','5','1','1','1',46,'01','39',3,51000
'-6','99998','5','1','4','1',50,'02','39',2,38100
'-6','99998','9','2','1','5',42,'01','33',8,100000
'-6','12060','5','1','1','5',32,'02','41',4,70000
'1','12060','5','2','6','1',28,'02','44',3,72000
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','1','1',46,'01','44',4,118850
'-6','99998','5','2','6','1',33,'01','42',6,0
'-6','38060','8','1','1','1',56,'01','44',4,112690
'-6','47900','5','2','4','1',63,'02','40',1,60000
'-6','47900','5','1','3','1',85,'01','39',1,50020
'-6','38060','8','1','1','1',71,'01','45',2,120000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','1','1','1',60,'01','38',4,93100
'-6','35620','2','2','1','1',40,'01','44',4,125000
'1','35620','2','2','6','1',30,'01','44',1,109000
'-6','38060','8','1','1','1',80,'01','40',2,92400
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','2','4','1',73,'01','40',1,2700
'-6','35620','2','2','1','1',72,'01','39',2,12100
'2','35620','2','1','1','3',28,'01','40',5,23000
'1','38060','8','2','1','1',63,'01','39',2,36000
'-6','38060','8','2','1','1',52,'01','43',7,110000
'-6','38060','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','6','1',44,'01','39',3,17200
'-6','99999','5','1','1','1',66,'01','39',2,82500
'-6','35620','2','1','1','1',40,'01','42',3,158000
'1','35620','2','1','1','1',24,'01','39',2,71000
'-6','35620','2','2','1','4',43,'02','45',2,126000
'2','35620','2','1','6','1',30,'01','39',2,78600
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','2','5','4',61,'01','33',2,9470
'-6','35620','2','2','1','4',60,'01','41',6,45700
'-6','38060','8','1','4','1',60,'01','40',2,68000
'-6','38060','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','38060','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','1','1',61,'01','39',2,79500
'-6','38060','8','2','1','1',35,'01','43',4,6000
'-6','99999','5','1','6','1',28,'02','39',1,34000
'-6','35620','2','2','6','1',34,'02','39',5,11000
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','6','1',59,'01','37',1,1500
'2','35620','2','2','3','1',65,'01','39',2,18200
'-6','99998','8','2','3','4',75,'01','34',1,9800
'-6','35620','2','1','3','1',80,'01','45',1,1100
'-6','99998','8','2','4','1',62,'04','45',1,291000
'-6','35620','2','2','1','1',37,'01','39',10,9000
'1','35620','2','2','1','1',27,'01','44',2,100000
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','38060','8','1','6','1',23,'03','42',1,6000
'1','38060','8','2','5','1',24,'01','44',4,67000
'-6','38060','8','2','1','1',54,'01','39',4,42004
'-6','38060','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','6','1',38,'01','40',1,60000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','2','3','1',67,'02','39',2,40900
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','2','4','5',52,'01','34',4,28800
'-6','35620','2','2','1','1',49,'01','40',2,80000
'-6','38060','8','-6','-6','-6',-6,'-6','-6',-6,-6
'2','38060','8','1','1','1',50,'01','44',2,103000
'-6','47900','5','1','1','1',30,'01','39',5,78000
'-6','38060','8','2','1','1',54,'01','45',2,176000
'-6','99999','5','2','3','1',76,'01','39',1,14400
'2','35620','2','1','6','1',43,'02','43',1,85000
'-6','99998','5','2','4','1',70,'01','43',1,9900
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'1','35620','2','1','1','1',32,'01','39',7,22000
'-6','47900','5','2','1','1',36,'01','42',4,98000
'-6','38060','8','2','1','1',69,'01','39',2,171200
'-9','99999','5','1','1','1',54,'01','37',2,42500
'-6','99999','5','1','1','1',80,'01','47',2,61700
'-6','35620','2','2','4','1',63,'01','45',1,70000
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','2','4','4',45,'04','46',3,87000
'-6','35620','2','2','3','1',66,'01','39',3,51000
'2','35620','2','1','1','5',36,'02','39',5,75000
'-6','35620','2','2','4','1',54,'02','42',4,11000
'-6','35620','2','1','2','1',44,'01','39',12,77500
'-6','38060','8','2','1','1',33,'01','44',4,52000
'-6','38060','8','2','1','1',35,'01','40',5,110000
'-6','47900','5','1','1','1',61,'01','39',2,111000
'-6','38060','8','-6','-6','-6',-6,'-6','-6',-6,-6
'1','35620','2','2','3','5',67,'01','39',3,12400
'1','35620','2','1','1','4',48,'02','43',4,403000
'2','99998','5','2','6','1',50,'01','39',2,73900
'-6','99998','5','2','3','1',75,'02','45',1,63600
'-6','99998','5','1','1','1',68,'01','45',2,14000
'-6','99998','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','2','1','1',40,'01','44',5,91800
'2','99998','5','1','1','1',33,'01','47',3,371000
'-6','99998','5','1','1','1',63,'01','39',2,61000
'-6','99998','5','1','1','1',68,'01','47',2,145000
'-6','35620','2','2','3','1',67,'01','40',1,42000
'-6','35620','2','2','3','1',69,'01','40',1,107600
'2','47900','5','1','6','1',33,'01','39',1,60004
'-6','38060','8','2','4','1',73,'02','40',1,1200
'-6','38060','8','1','1','1',44,'01','44',4,113600
'-6','99999','5','2','4','1',52,'01','39',1,580
'-6','35620','2','2','4','5',62,'01','45',1,113000
'-6','35620','2','2','3','4',72,'01','39',1,10200
'-6','99998','5','1','6','1',61,'01','43',2,63000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','1','1','1',47,'01','40',7,151000
'1','47900','5','1','6','1',32,'02','39',1,16000
'2','38060','8','2','6','1',52,'01','41',1,45000
'-6','38060','8','1','1','1',63,'01','44',4,139990
'-6','38060','8','1','6','1',39,'01','39',1,35500
'-6','47900','5','2','3','1',85,'01','39',1,18200
'2','47900','5','2','1','4',52,'04','45',2,191000
'2','38060','8','2','1','1',46,'01','39',8,14800
'-6','35620','2','1','1','4',52,'04','40',5,65000
'-6','35620','2','2','1','1',64,'01','44',4,290200
'2','99998','8','1','2','1',48,'01','41',1,85000
'-6','14460','1','2','1','1',53,'01','44',2,125000
'-6','14460','1','1','1','1',49,'01','38',3,91000
'-6','14460','1','1','1','1',72,'01','38',3,115000
'-6','14460','1','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','1','2','4','1',63,'01','44',2,126000
'-6','14460','1','1','3','1',74,'01','40',1,31700
'-6','14460','1','2','4','1',66,'01','47',1,8000
'-6','14460','1','1','4','1',66,'01','44',1,21900
'-6','14460','1','1','1','4',50,'01','38',6,130000
'-6','14460','1','2','1','1',73,'01','40',2,111000
'-6','99998','3','2','1','1',39,'01','40',6,100000
'1','99998','7','2','5','1',51,'01','44',1,41000
'2','14460','1','1','5','1',37,'01','44',1,1400
'-6','99999','3','2','1','1',72,'01','39',2,146200
'-6','14460','1','1','1','1',40,'01','43',5,160000
'-6','99998','3','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','3','2','4','1',48,'01','40',2,108000
'-6','14460','1','2','6','5',23,'02','44',7,36000
'-6','14460','1','1','1','1',63,'01','41',2,126000
'-6','14460','1','1','4','1',47,'02','43',3,200000
'-6','14460','1','2','1','1',39,'01','39',2,78004
'-6','99998','1','1','4','1',29,'01','44',2,88000
'-6','99999','3','1','1','4',85,'01','39',2,1040
'-6','99998','1','1','1','1',53,'01','44',4,155500
'-6','14460','1','2','1','1',70,'01','46',2,152900
'2','14460','1','2','3','1',77,'01','39',1,0
'-6','14460','1','1','1','1',60,'02','40',5,160000
'-6','14460','1','1','1','1',76,'01','44',2,61800
'-6','14460','1','-6','-6','-6',-6,'-6','-6',-6,-6
